city,apartment 1BR city center,apartment 1BR outside center,apartment 3BR city center,apartment 3BR outside center,price per sqm city center,price per sqm outside center,average monthly net salary,mortgage interest rate,lat,lng,population,density,price per sqm,affordability ratio,percentage salary
Markham,1500.83,1315.54,2421.09,2223.45,11168.74,9573.2,3186.84,6.0,43.8767,-79.2633,328966.0,1549.2,10370.970000000001,8.849785367323117,1372.0308473871223
Barrie,1375.76,1232.16,1964.05,1951.69,11966.5,9573.2,3335.17,6.94,44.3711,-79.6769,172657.0,1428.0,10769.85,8.414371681203656,1361.4335109338297
Toronto,1728.5,1426.71,2733.4,2302.11,9834.67,7249.17,3249.79,5.24,43.7417,-79.3733,5429524.0,4334.4,8541.92,7.77729022490684,1108.1663516086621
Vancouver,1799.96,1502.8,3373.09,2341.43,9983.22,7902.75,3474.89,4.46,49.25,-123.1,2264823.0,5492.6,8942.985,7.742187522482727,1085.0411234836265
Richmond,1411.89,1507.0,3816.92,2594.02,9573.2,7778.23,3740.95,5.6,46.0776,-67.7248,1303.0,5.0,8675.715,7.132215079057459,977.7506888590192
Richmond,1411.89,1507.0,3816.92,2594.02,9573.2,7778.23,3740.95,5.6,49.1667,-123.1333,198309.0,1534.1,8675.715,7.132215079057459,977.7506888590192
Richmond,1411.89,1507.0,3816.92,2594.02,9573.2,7778.23,3740.95,5.6,45.6667,-72.15,3232.0,460.2,8675.715,7.132215079057459,977.7506888590192
Burnaby,1556.41,1452.65,3302.81,2198.74,6781.02,6781.02,3460.62,7.4,49.2667,-122.9667,232755.0,2568.7,6781.02,6.378235691870244,826.1251986060636
Kamloops,1089.49,984.08,1931.62,1623.12,5976.37,5434.08,2841.07,5.76,50.6761,-120.3408,100046.0,301.7,5705.225,5.997303832710916,846.6337940755192
Mississauga,1570.31,1386.53,2391.63,2072.37,7214.73,5614.65,3413.29,4.72,43.6,-79.65,721599.0,2467.6,6414.69,5.93275695882858,792.3320840373962
Victoria,1488.87,1206.06,2519.91,2060.06,7659.7,5498.61,3521.25,4.36,48.4283,-123.3647,335696.0,4406.3,6579.155,5.802828541001065,787.7311427848972
Victoria,1488.87,1206.06,2519.91,2060.06,7659.7,5498.61,3521.25,4.36,47.7675,-53.2411,1800.0,102.0,6579.155,5.802828541001065,787.7311427848972
Victoria,1488.87,1206.06,2519.91,2060.06,7659.7,5498.61,3521.25,4.36,49.6644,-98.9153,1514.0,2.2,6579.155,5.802828541001065,787.7311427848972
Sarnia,845.65,814.34,1704.64,1741.7,2316.09,1876.04,1630.53,6.19,42.9994,-82.3089,71594.0,434.3,2096.065,5.70272242767689,541.9768167155049
Surrey,1255.84,1020.77,2390.21,1741.7,9041.36,5584.37,3800.35,5.32,49.19,-122.8489,517887.0,1636.8,7312.865,5.534819161393029,811.2761672264288
North Vancouver,1445.24,1259.95,3211.65,2544.61,9972.09,3487.52,4076.32,5.61,49.3641,-123.0066,85935.0,534.6,6729.805,5.377659261294501,696.0476444961782
Kitchener,1289.29,1159.47,1780.81,1650.29,5966.09,5661.11,3369.02,6.3,43.4186,-80.4728,470015.0,3433.5,5813.6,5.196484437610938,727.5223093034666
Hamilton,1193.25,1078.0,1897.34,1835.77,4295.76,4265.05,2816.37,4.62,43.2567,-79.8692,693645.0,480.6,4280.405000000001,5.171610974410323,640.7666655999504
Vaughan,1704.64,1445.24,2964.6,2223.45,5188.05,3705.75,3335.17,4.88,43.8333,-79.5,306233.0,1119.4,4446.9,5.166672163637835,562.1395543829904
London,1348.08,1067.55,2559.89,1581.36,7101.66,3464.88,3446.3,4.53,42.9836,-81.2497,383822.0,913.1,5283.27,4.968638830049619,646.3302507854286
Burlington,1545.83,1346.42,2371.68,2056.69,7429.2,7166.61,4435.78,6.21,43.3167,-79.8,183314.0,946.8,7297.905,4.940828895932621,693.6381393518988
Brampton,1425.48,1135.45,1837.27,1662.05,6307.5,4844.93,3489.58,4.89,43.6833,-79.7667,593638.0,2228.7,5576.215,4.932593607253595,673.7070756201889
Charlottetown,925.51,789.85,1352.6,1227.53,2393.3,1563.62,1704.64,4.14,46.2403,-63.1347,42602.0,779.7,1978.46,4.84114534447156,489.3271990404892
Nanaimo,1168.55,1091.22,1951.69,1825.7,3547.18,3783.68,2791.66,6.51,49.1642,-123.9364,90504.0,918.0,3665.43,4.788555912969345,553.5631392622884
Laval,852.32,629.98,1000.55,1259.95,4817.47,4359.44,2734.02,5.27,45.5833,-73.75,422993.0,1710.9,4588.455,4.725536023876928,707.5702213539371
Winnipeg,817.87,843.69,1349.06,1295.92,3038.71,2649.61,2145.63,4.5,49.8844,-97.1464,705244.0,1430.0,2844.16,4.65824023713315,558.8611869576625
Ottawa,1271.64,1000.55,2040.48,1612.0,4884.05,3616.54,3319.71,5.33,45.4247,-75.695,989567.0,334.0,4250.295,4.345337393928989,539.78857085111
Gatineau,929.22,768.94,1245.13,1119.14,3705.75,2433.19,2352.22,4.41,45.4833,-75.65,276245.0,773.7,3069.4700000000003,4.336911513378851,550.1615212061599
Quebec City,721.93,588.1,1242.85,929.81,7736.1,1752.82,3012.07,5.06,46.8139,-71.2081,705103.0,1173.2,4744.46,4.306543340626214,664.0893053176236
Kelowna,1301.03,1079.54,2206.98,1804.14,3875.6,2910.15,3119.7,6.01,49.8881,-119.4956,142146.0,601.3,3392.875,4.223944610058659,458.52158410739105
Guelph,1262.43,1181.72,2000.28,1900.64,4516.94,3416.95,3384.58,8.07,43.55,-80.25,131794.0,1511.1,3966.9449999999997,4.218827742290033,494.1469882770969
Windsor,1017.02,1001.95,1626.41,1519.36,4651.1,1994.42,2979.01,6.76,45.5667,-72.0,5367.0,375.5,3322.76,3.9644915592764036,470.2532113403066
Windsor,1017.02,1001.95,1626.41,1519.36,4651.1,1994.42,2979.01,6.76,42.2833,-83.0,276165.0,1484.3,3322.76,3.9644915592764036,470.2532113403066
Windsor,1017.02,1001.95,1626.41,1519.36,4651.1,1994.42,2979.01,6.76,44.9803,-64.1292,3648.0,400.6,3322.76,3.9644915592764036,470.2532113403066
Sault Ste. Marie,926.44,833.79,1247.6,1420.54,1930.6,2536.9,2317.33,6.9,46.5333,-84.35,73368.0,328.6,2233.75,3.838844704897446,406.3978847825611
Halifax,1217.45,973.06,1919.75,1504.86,3764.62,2099.92,3072.15,4.63,44.6475,-63.5906,403131.0,73.4,2932.27,3.7366860342105688,402.40771446181725
Vernon,963.39,857.62,1717.0,1741.7,2792.18,2393.3,2816.37,6.25,50.267,-119.272,44600.0,417.7,2592.74,3.715843443865685,388.1271432417295
Moncton,838.43,680.93,1387.01,1106.02,2001.1,1778.76,2328.88,5.72,46.1328,-64.7714,108620.0,506.0,1889.9299999999998,3.345921644739102,342.13961709762236
Lethbridge,791.18,699.46,1283.89,1139.12,2153.97,1994.42,2425.54,4.85,49.6942,-112.8328,92729.0,759.5,2074.1949999999997,3.3238124293971647,360.53372805291565
Saskatoon,889.38,708.88,1357.23,1257.31,2393.3,3191.07,3239.88,4.66,52.1333,-106.6833,246376.0,1080.0,2792.1850000000004,3.023929898638221,363.3456976551234
Calgary,1121.71,903.12,1976.24,1504.96,3328.49,2651.05,3807.94,4.58,51.05,-114.0667,1239220.0,1501.1,2989.77,3.0162161168505803,331.0186326263848
St. Catharines,1160.93,1005.55,1593.47,1480.17,3316.8,4452.18,4508.66,6.25,43.1833,-79.2333,309319.0,1384.8,3884.4900000000002,2.8853583991695984,363.2380026397499
Sudbury,994.38,778.21,1686.12,1630.53,3869.17,2645.93,4632.19,7.38,46.49,-81.01,88054.0,49.7,3257.55,2.5051519907430397,296.48961292075444
Edmonton,906.92,745.74,1535.36,1153.16,2200.36,1841.51,3403.02,4.82,53.5344,-113.4903,1062643.0,1360.9,2020.935,2.46341484916339,250.37594486809897
Red Deer,838.73,752.27,1096.9,914.08,1412.05,1497.5,3097.89,5.24,52.2681,-113.8111,100418.0,958.8,1454.775,2.101924212932028,197.98605120542348
Regina,710.27,694.83,1289.6,1082.08,1994.42,1934.58,3722.32,5.22,50.4547,-104.6067,215106.0,1195.2,1964.5,2.0701551720432416,222.50669589436592
